Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonaly adjusted,United States seasonaly adjusted
2016-02-29,174.65315947,127.02979459,133.1310196,162.38232469,195.374776,160.91634615,129.53816252,320.2369011,153.8355568,174.11290282,125.35579623,248.30414599,133.37546781,157.00383015,119.95177835,117.11768187,134.1472484,130.31805418,154.39761826,151.29619681,171.45346351,154.84910036,100.21891386,133.12364704,129.86015268,129.46772845,177.42510044,131.80648667,212.0651651,133.30220657,141.88533094,151.71790398,141.98485906,149.27831885,158.85767824,109.2316443,146.69974546,181.36246599,151.73816001,155.62935129,133.83032716,158.68438822,142.39634064,169.66077448,160.09028304,173.25814897,163.11597554,178.59958947,125.74857636,140.21487581,183.20368604,158.45516407,159.89445910514
2016-01-31,174.56360601,126.25294816,133.10846229,160.94349523,193.57300237,158.66842076,129.68354,318.37199767,153.7802397,172.42822391,124.64223262,246.45921318,133.28464049,155.9435194,119.13574015,116.82485233,132.94309091,130.02896014,153.50942529,150.85343087,171.02699613,154.64460021,99.844301468,132.63669035,129.11801487,129.20907025,176.75771134,131.08262664,211.99850122,132.93024596,141.3487707,152.02729446,142.24418093,148.36646737,158.79763517,108.88596111,146.34969787,179.89965291,151.24449065,155.36574472,133.34648548,158.32509161,141.67095228,167.99403274,158.95845954,172.19487784,163.2707596,176.03959856,125.25704258,140.40446333,183.05144799,157.45714383,159.07284884424
2015-12-31,174.69400039,126.02894046,133.59565549,160.42952768,193.12677188,157.32934346,130.34537841,316.61322962,153.58783834,172.05055445,124.30499366,245.44113623,133.61449251,155.7323698,119.63030149,117.2801176,132.62893324,129.91440265,153.40583088,151.3074621,171.55304305,155.16615349,100.48912112,133.40501812,128.61181819,128.91607825,176.88771671,130.81733577,212.40249991,133.36486936,141.75457481,152.99780706,142.61828748,148.09571122,159.09865634,109.16281849,146.38540584,179.33417326,151.76493503,155.65944243,133.40133033,158.01474907,141.5103773,167.3017275,158.21171639,172.55592378,163.75087937,174.94460791,125.79595197,141.01023262,183.61489581,157.40165123,158.31442629164
2015-11-30,174.85051684,126.2731108,134.20103926,160.33315484,192.58184167,157.0243142,131.1203243,314.74829923,153.09108414,171.71798235,124.18660782,244.62651943,133.73865025,155.94108526,120.59967933,117.96810469,133.03819391,129.7423171,153.74220084,151.6832329,172.18827138,155.97808962,101.49116956,134.63816176,128.51403461,128.74238396,177.42947309,130.91960149,212.78958624,134.08224826,142.60817706,153.70212012,142.63460967,147.92681246,159.59826088,109.73094141,146.70267055,178.80380544,152.952447,155.80181119,133.49950743,157.80478873,141.67728317,167.21605529,157.94434224,173.52900285,164.50891312,174.41956041,126.42326077,141.79244974,184.72418109,157.58136752,157.55936011897
2015-10-31,175.12347279,126.70500742,134.64562165,160.19080193,191.99777638,157.10321967,131.89722324,312.93877771,152.41438262,170.80894509,124.11964698,243.5216238,133.75133361,156.27645828,121.3841038,118.59757188,133.59307739,129.93320142,154.09621201,151.82747158,172.56682053,156.59300617,102.09747747,135.67654086,128.68813461,128.82552798,177.97182323,130.93865654,212.76564132,134.66592877,143.48062441,154.05882197,142.48742553,147.40215864,160.15931178,110.14789939,147.0301082,178.1666517,154.12099506,155.5425686,133.29407457,157.60191026,141.74675989,166.9503634,157.71783914,174.3880304,165.43363706,173.70355339,126.61499307,142.62571626,185.97832479,157.64362011,156.67705629158
2015-09-30,175.47602987,127.31907752,134.69729437,159.63374357,191.63536558,156.96095111,133.06490568,311.21626693,151.95606686,169.6714758,123.85758373,242.19081062,133.97249169,156.50997013,121.83576097,118.90502613,133.93371883,130.51354897,154.2891611,152.23659071,173.37980219,156.82637149,102.02079049,136.42814845,129.09223822,128.98160791,178.25980695,130.92101906,212.47457659,134.96197432,144.07744009,154.84162584,142.50778943,146.53457735,160.88142842,110.35657479,147.30615415,177.68566928,154.99890722,155.19146112,132.90326353,157.32052242,141.57665665,166.48629706,157.21250059,174.88436944,166.31258933,173.07768868,126.83051078,143.49783457,187.00839092,157.65958664,155.81051620918
2015-08-31,175.51428613,127.84596898,134.31277094,158.75828072,191.25074964,156.82391898,134.43332971,309.64238387,151.82573692,168.87580534,123.57695699,240.75522704,134.15418019,156.30500602,122.25445976,118.95530891,133.91313757,130.95005213,154.23560485,152.69196795,174.48370002,156.80078895,101.67989062,136.78926066,129.48337038,128.83996897,178.03088074,130.99316767,211.95758023,135.03381607,144.07788298,155.77930112,142.723815,145.49743079,161.23106106,110.6439813,147.72171528,177.3278451,155.45968493,155.01239789,132.71752668,157.03957001,141.30152681,166.38435288,156.62564601,175.08307743,166.9313059,172.6343485,127.09151998,144.34055706,187.54455307,157.641827,155.02558474273
2015-07-31,175.09165266,127.8542619,133.70171798,157.94448762,190.48811635,156.40999217,135.00321641,308.34337865,151.8793401,167.95847306,123.33441238,239.57062098,134.04110973,155.45950931,122.64758711,118.90859967,133.61422783,130.72985461,153.95383787,152.50197887,175.06368476,156.53729783,101.39771262,136.7148253,129.57179231,128.44426694,177.35143643,130.77255016,211.22778709,134.85525137,143.40186126,155.98208326,142.80599286,144.22513732,160.73311672,110.90655906,148.03912446,176.48359683,155.45187475,154.61550661,132.74977588,156.58099086,140.96147919,166.25303957,156.04112212,175.20872365,166.97735062,171.71550719,127.06632094,144.94003755,187.17833104,157.3226527,154.26857486939
2015-06-30,174.07239365,127.36401435,133.00696943,157.07138144,189.39096751,155.293738,134.3755285,307.12253961,151.74726361,166.33658118,122.81356123,238.8057275,133.48062555,154.12273292,122.35300733,118.28536616,133.08194965,129.89839931,153.53882622,151.2718211,174.90928283,155.7955073,101.07323493,135.86900616,129.04057114,127.95356741,176.41381774,130.07151661,210.16154699,134.13023704,142.04805445,155.15023205,142.21827406,142.544023,159.28927318,110.3312873,147.56808222,174.66948438,154.91031923,153.49800776,132.40568747,155.8190191,140.27838258,165.12692637,155.23813366,174.8380158,166.05703347,170.1325449,126.53073134,145.09562492,185.80234016,156.41719723,153.5239480369
2015-05-31,172.41030164,126.4809076,132.11301837,156.01383966,187.83210305,153.52041883,132.87729328,305.27793784,150.92431702,164.12678364,121.75986596,238.24074576,132.2721375,152.20974527,120.97548119,117.20240766,132.15612333,128.61679034,152.77502382,149.2396709,173.72636766,154.34965763,100.07738706,133.92006802,127.84206522,127.34719852,175.13586239,129.10084944,208.84137266,132.68719028,140.24714349,153.59742581,140.98815262,140.57520289,157.28522141,108.52126793,146.0741204,171.82799468,153.39436872,151.71509446,131.24544993,154.79445402,138.98730076,163.37901359,153.92848709,173.58099698,164.04303649,168.10284244,125.07493277,144.53110342,183.93137529,154.84923336,152.76333717117
2015-04-30,170.50531123,125.4887708,131.01297453,154.58921843,185.90312374,151.24917161,130.99139201,302.83495347,149.55936473,161.8686023,120.26973705,237.55197361,130.49834793,149.7222121,118.8897135,115.90992212,130.86567336,127.1884194,151.58772658,147.13756992,171.68872261,152.42870674,98.20227345,131.07242309,126.0426546,126.71284937,173.20537688,128.01818372,207.63908644,130.91789004,138.29425169,151.95532716,139.68868559,138.56756704,155.42450437,106.26357361,144.44299169,168.41988898,151.13936971,149.82473652,129.55317699,153.52825756,137.40682655,161.63903194,152.20351641,171.73724427,161.43188552,165.56029245,123.11765627,143.20488575,182.17714767,152.9042737,152.0238237594
2015-03-31,168.85092783,124.55908388,130.05602552,153.02570073,183.39238265,148.83426675,129.38346865,300.51256555,148.32927485,159.97190945,118.50567818,236.57019783,128.60161643,147.36157906,116.63536393,114.57110851,129.50665528,126.04619074,150.21744232,145.31961741,169.66490441,150.54434785,96.209762903,128.05465014,123.72370271,125.94074107,171.0229597,126.70579097,206.61155482,129.43144165,136.35001395,150.59254409,138.74547417,136.72448793,154.19931683,104.43247071,143.45358063,165.32424016,149.38379818,148.47858774,127.99179959,152.13037475,135.95120267,159.82436721,150.32442906,169.79135779,159.11583229,162.60756943,121.45928664,141.59777003,180.92928439,150.90627976,151.34705628939
2015-02-28,167.74832581,123.81200297,129.48505459,151.64682173,180.82139029,146.34571438,128.6214295,298.29225532,147.71464123,157.95144015,116.94576398,235.31490496,127.20320556,145.70097685,115.10773513,113.47895628,128.56143568,125.28261119,148.806366,143.8025075,167.88318359,149.07670775,94.857231591,126.11779233,121.81278366,125.24927448,169.47746791,125.23749562,205.82722998,128.40899646,134.96345752,149.75318369,138.18338663,135.3704232,153.68995615,103.24589368,142.95140633,163.08326782,148.67850151,147.984175,126.67493132,150.93851731,134.73640891,157.99923195,148.50102076,168.47093318,157.65227774,159.87568576,120.25662977,140.36239524,180.34326789,149.2266728,150.65726368436
2015-01-31,167.26807,123.27393785,129.38840476,150.66185203,179.3612202,144.22962004,128.83469367,296.20729251,147.71953726,156.21466216,115.96855714,233.81790626,126.86164069,144.69208285,114.97900935,112.97858267,128.21566652,124.94490814,147.77187818,143.28294085,167.21825195,148.28208004,94.59136803,125.76753516,121.27795082,125.03491791,168.98829041,124.14193143,205.4776115,127.77979278,134.48330038,149.96592338,138.02989866,134.56547233,153.67154548,103.16045748,142.59019253,162.01580176,148.73931325,148.0978208,125.5645114,150.2928718,134.0179674,156.80956595,147.16668325,168.38319955,157.05577204,158.14746424,119.78372117,139.90105994,180.18053886,148.40231795,149.98527454162
2014-12-31,167.3301324,122.87094875,129.77832001,150.09580277,178.59857783,143.08525673,129.75339859,294.59875503,148.12305263,155.25385616,115.65451335,232.40338748,127.40108622,144.24514986,115.81687922,113.08263904,128.22696134,124.92024176,147.55149201,143.85063681,168.199649,148.30474721,95.233245859,126.668619,121.88234378,125.23735911,169.47910241,123.82132608,205.51349832,127.56146857,134.80986609,150.84271657,138.23578631,134.03207757,153.96389027,104.26091608,142.53306166,161.82427874,149.16739291,148.45313822,125.03314681,150.06176553,133.90844408,156.26638185,146.47647116,169.04462305,157.17904249,157.48771671,120.31187896,140.26160997,180.06832322,148.34617943,149.22033596853
2014-11-30,167.89793401,122.87538219,130.4702824,149.33151876,178.22422474,142.52900548,130.85216149,293.5748488,148.77383605,154.70995804,115.94003154,231.59377028,128.11360859,144.4716315,116.83314112,113.46308944,128.3697151,124.907171,147.97905981,144.58798465,169.71707307,149.02253809,95.986313394,128.04411235,122.76822166,125.53212909,170.61510016,123.95163355,205.64694971,127.57507638,135.59191419,151.18613733,138.55202391,133.56100389,154.66391354,105.52199067,142.66260026,161.76274252,149.73305693,148.99670438,125.23813157,150.01728279,134.21529591,155.80305949,146.39170504,169.57943454,157.98908846,157.1206375,121.43439396,141.1733261,179.86893335,148.57746802,148.5377013339
2014-10-31,168.7692703,123.3722099,131.05394085,148.27457972,178.14846671,141.97217,131.63542741,292.79474986,149.61938101,154.31704472,116.12926145,231.25379226,128.67096018,145.03309178,117.66500513,113.96690785,128.64967015,124.8625157,148.45890465,145.0791567,170.52245546,149.97870438,96.513998855,129.10840641,123.32513252,125.72160579,171.69290166,124.10044237,205.68400831,127.69515084,136.45020988,151.07943365,138.93142421,133.1911917,155.3305624,106.13982414,142.54361763,161.34745555,150.51388497,149.56467149,125.71804375,149.88212039,134.39516122,155.38331962,146.69895973,169.97533735,159.40331564,156.77711528,122.33329889,142.06529318,179.55111322,148.77761768,147.79956668454
2014-09-30,169.56613426,124.14130596,131.24382496,147.67769034,178.0951393,141.40085851,132.27273151,291.78302015,150.3041775,153.64673114,116.12727883,231.02118737,129.32987176,145.63842865,118.45311212,114.48804876,129.17212362,125.07464999,148.77659855,145.40843056,170.57492625,150.9440765,97.006305214,129.97219985,123.57592535,125.86622407,172.05100765,124.25838525,205.49243613,128.01364251,137.18087837,151.62232527,139.32923362,132.92365395,155.63609206,106.46648551,142.13707769,161.18940736,151.5883568,149.8242731,126.13996277,149.62605962,134.20182415,155.07918833,146.94880671,170.58936342,161.06114086,156.99322165,122.87299073,142.28839619,179.32559708,148.95442851,147.13958309764
2014-08-31,170.00699677,124.59316858,130.95031205,147.82112133,178.03864032,140.86158343,133.0989522,291.12181594,150.36575804,153.01596964,116.17753002,230.75009479,130.03379613,145.99992452,119.3711647,115.0664934,129.73949221,125.5650246,148.72727292,145.81169988,171.00884754,151.59075893,96.997446295,130.60842782,123.84542322,125.92838456,171.74315907,124.4309843,205.00540212,128.28786969,137.49534341,152.7274137,139.68960169,132.55795525,155.91899209,106.656243,141.6420301,161.67119906,152.72011515,149.80610154,126.48939982,149.39218431,134.17504756,154.5628579,147.0144182,171.36182294,162.42827316,157.51399065,123.23551927,141.73102637,179.26016341,149.15637977,146.6252378781
